time_ajustado	gFy
1.39094609	0.1383
1.39290578	0.1412
1.39424307	0.1431
1.39507494	0.1431
1.39573802	0.1422
1.39731760	0.1409
1.40061572	0.14
1.40213979	0.14
1.40346708	0.1392
1.40438911	0.1385
1.40502104	0.1383
1.40550791	0.1378
1.40596734	0.1373
1.40667713	0.1368
1.40778744	0.1365
1.40904098	0.1368
1.41022567	0.1368
1.41163911	0.137
1.41262703	0.1375
1.41615390	0.138
1.41686291	0.137
1.41732390	0.1344
1.41781531	0.1339
1.41940828	0.1346
1.42040781	0.1348
1.42141817	0.1346
1.42243598	0.1348
1.42376374	0.1344
1.42511864	0.1339
1.42655546	0.1339
1.42751953	0.1329
1.42850036	0.1314
1.42980734	0.13
1.43269609	0.1273
1.43353749	0.1234
1.43410015	0.1224
1.43520427	0.1258
1.43627802	0.128
1.43745697	0.1292
1.43868947	0.13
1.43978223	0.1292
1.44082031	0.1285
1.44191489	0.1278
1.44316281	0.1273
1.44433062	0.127
1.44557296	0.1268
1.44681958	0.1268
1.45174171	0.1265
1.45249505	0.1261
1.45297776	0.1261
1.45338838	0.1248
1.45386109	0.1231
1.45427010	0.1217
1.45633432	0.1207
1.45700984	0.1202
1.45803828	0.1202
1.45923729	0.119
1.46085749	0.1177
1.46160020	0.1175
1.46312640	0.117
1.46580203	0.1175
1.46645588	0.1182
1.46700494	0.1187
1.46786374	0.119
1.46904656	0.1192
1.47031947	0.119
1.47126744	0.1187
1.47253822	0.1195
1.47383473	0.1204
1.47529572	0.1212
1.47888479	0.1217
1.47958562	0.1212
1.48007578	0.1202
1.48059385	0.1207
1.48104942	0.1214
1.48354104	0.1217
1.48482651	0.1214
1.48547145	0.1226
1.48600567	0.1243
1.48729354	0.1246
1.48830281	0.1243
1.48927130	0.1243
1.49042682	0.1248
1.49154494	0.1258
1.49283197	0.1251
1.49402802	0.1221
1.49524661	0.1192
1.49655078	0.1195
1.49901057	0.1239
1.49972458	0.127
1.50026604	0.128
1.50121270	0.1292
1.50274916	0.129
1.50374744	0.1282
1.50480645	0.1275
1.50612010	0.1253
1.50746755	0.1221
1.50842697	0.1192
1.50977406	0.118
1.51106880	0.1182
1.51216005	0.1187
1.51315145	0.1199
1.51562447	0.1202
1.51634786	0.119
1.51734817	0.118
1.51834453	0.1173
1.51948270	0.1175
1.52066406	0.1182
1.52178015	0.1168
1.52337598	0.1148
1.52445437	0.1153
1.52549182	0.1173
1.52660062	0.1177
1.52778781	0.1175
1.52893635	0.1175
1.53233927	0.1153
1.53315583	0.1114
1.53368140	0.1099
1.53419515	0.1104
